ZERNIKE_MAGNITUDE_00,ZERNIKE_MAGNITUDE_11,ZERNIKE_MAGNITUDE_20,ZERNIKE_MAGNITUDE_22,ZERNIKE_MAGNITUDE_31,ZERNIKE_MAGNITUDE_33,ZERNIKE_MAGNITUDE_40,ZERNIKE_MAGNITUDE_42,ZERNIKE_MAGNITUDE_44,ZERNIKE_MAGNITUDE_51,ZERNIKE_MAGNITUDE_53,ZERNIKE_MAGNITUDE_55,FIRSTORDER_MAX,FIRSTORDER_MIN,FIRSTORDER_MEAN,FIRSTORDER_MEDIAN,FIRSTORDER_KURTOSIS,FIRSTORDER_SKEWNESS,FIRSTORDER_SUM,FIRSTORDER_LOGSUM,FIRSTORDER_INVERSESUM,FIRSTORDER_SQUARESUM,FIRSTORDER_VARIANCE,FIRSTORDER_STDDEV,FIRSTORDER_SIZE,FIRSTORDER_MOMENT1,FIRSTORDER_MOMENT2,FIRSTORDER_MOMENT3,FIRSTORDER_MOMENT4,FIRSTORDER_GEOMETRICMEAN,FIRSTORDER_HARMONICMEAN,HARALICK_ASM_DIAGONAL,HARALICK_ASM_ANTIDIAGONAL,HARALICK_ASM_HORIZONTAL,HARALICK_ASM_VERTICAL,HARALICK_CONTRAST_DIAGONAL,HARALICK_CONTRAST_ANTIDIAGONAL,HARALICK_CONTRAST_HORIZONTAL,HARALICK_CONTRAST_VERTICAL,HARALICK_CORRELATION_DIAGONAL,HARALICK_CORRELATION_ANTIDIAGONAL,HARALICK_CORRELATION_HORIZONTAL,HARALICK_CORRELATION_VERTICAL,HARALICK_DE_DIAGONAL,HARALICK_DE_ANTIDIAGONAL,HARALICK_DE_HORIZONTAL,HARALICK_DE_VERTICAL,HARALICK_DV_DIAGONAL,HARALICK_DV_ANTIDIAGONAL,HARALICK_DV_HORIZONTAL,HARALICK_DV_VERTICAL,HARALICK_ENTROPY_DIAGONAL,HARALICK_ENTROPY_ANTIDIAGONAL,HARALICK_ENTROPY_HORIZONTAL,HARALICK_ENTROPY_VERTICAL,HARALICK_ICM1_DIAGONAL,HARALICK_ICM1_ANTIDIAGONAL,HARALICK_ICM1_HORIZONTAL,HARALICK_ICM1_VERTICAL,HARALICK_ICM2_DIAGONAL,HARALICK_ICM2_ANTIDIAGONAL,HARALICK_ICM2_HORIZONTAL,HARALICK_ICM2_VERTICAL,HARALICK_IFDM_DIAGONAL,HARALICK_IFDM_ANTIDIAGONAL,HARALICK_IFDM_HORIZONTAL,HARALICK_IFDM_VERTICAL,HARALICK_SA_DIAGONAL,HARALICK_SA_ANTIDIAGONAL,HARALICK_SA_HORIZONTAL,HARALICK_SA_VERTICAL,HARALICK_SE_DIAGONAL,HARALICK_SE_ANTIDIAGONAL,HARALICK_SE_HORIZONTAL,HARALICK_SE_VERTICAL,HARALICK_SV_DIAGONAL,HARALICK_SV_ANTIDIAGONAL,HARALICK_SV_HORIZONTAL,HARALICK_SV_VERTICAL,HARALICK_VARIANCE_DIAGONAL,HARALICK_VARIANCE_ANTIDIAGONAL,HARALICK_VARIANCE_HORIZONTAL,HARALICK_VARIANCE_VERTICAL,HARALICK_CLUSTERPROMENENCE_DIAGONAL,HARALICK_CLUSTERPROMENENCE_ANTIDIAGONAL,HARALICK_CLUSTERPROMENENCE_HORIZONTAL,HARALICK_CLUSTERPROMENENCE_VERTICAL,HARALICK_CLUSTERSHADE_DIAGONAL,HARALICK_CLUSTERSHADE_ANTIDIAGONAL,HARALICK_CLUSTERSHADE_HORIZONTAL,HARALICK_CLUSTERSHADE_VERTICAL,HARALICK_TEXTUREHOMOGENEITY_DIAGONAL,HARALICK_TEXTUREHOMOGENEITY_ANTIDIAGONAL,HARALICK_TEXTUREHOMOGENEITY_HORIZONTAL,HARALICK_TEXTUREHOMOGENEITY_VERTICAL,HARALICK_MAXPROBABILITY_DIAGONAL,HARALICK_MAXPROBABILITY_ANTIDIAGONAL,HARALICK_MAXPROBABILITY_HORIZONTAL,HARALICK_MAXPROBABILITY_VERTICAL,TAMURA_COARSENESS,TAMURA_CONTRAST,TAMURA_DIRECTIONALITY,ID,CLASS
2.15E-04,1.24E-06,6.46E-04,1.41E-08,4.95E-06,8.25E-11,0.001076175,7.07E-08,1.68E-12,1.11E-05,4.95E-10,1.22E-13,184,0,0.050918579,0,3321.394323,57.05771949,3337,#NOME?,Infinity,524781,8.005052029,2.829320065,65536,0,8.004929881,1292.291977,212837.7979,0,0,0.999077499,0.999108242,0.999142347,0.999172972,11.03111111,9.383529412,7.002757353,6.056066176,0.645129374,0.698132044,0.773838277,0.804412706,0.005459657,0.005345855,0.004884706,0.004913957,11.03111111,9.383529412,7.002757353,6.056066176,0.005531662,0.005367175,0.005184043,0.004977666,-0.625292601,-0.666170326,-0.707054745,-0.758527044,0.070848911,0.073122072,0.075191795,0.077872604,0.999548644,0.999555934,0.999595624,0.999588678,2.142437524,2.142437524,2.141881127,2.141881127,0.005480976,0.005345855,0.005141571,0.004977666,55.70523371,57.35339292,59.48988842,60.43728007,15.54751032,15.54751032,15.48677786,15.48677786,8869060.37,9328147.14,1.04E+07,1.06E+07,20530.30341,21549.19837,23312.92422,23836.93477,0.999562784,0.99956795,0.999607787,0.99960536,0.999538639,0.999554018,0.999571078,0.999586397,0.255279541,0.37269363,1.226008789,5345501ce4b0601736283af4,0
2.45E-04,1.08E-06,7.34E-04,1.60E-08,4.31E-06,2.53E-10,0.001222855,7.98E-08,2.82E-12,9.69E-06,1.52E-09,9.26E-14,189,0,0.056747437,0,2964.428091,53.77925769,3719,#NOME?,Infinity,574721,8.766460003,2.960820833,65536,0,8.766326237,1395.889971,227818.7326,0,0,0.998985271,0.998985272,0.999081101,0.999050478,8.971041907,8.638708189,4.82879902,6.35189951,0.72188113,0.732184089,0.849711463,0.80230743,0.006003802,0.005987709,0.005533089,0.005633285,8.971041907,8.638708189,4.82879902,6.35189951,0.006131719,0.006110399,0.005554325,0.005739466,-0.661578703,-0.666232267,-0.783256528,-0.742699209,0.07773966,0.078011761,0.084412584,0.082205679,0.999496163,0.999494912,0.999545328,0.999537719,2.154525183,2.154525183,2.153921569,2.153921569,0.00608908,0.006038394,0.005554325,0.005696993,60.15702076,60.48957227,64.04705957,62.52334609,16.1340384,16.1340384,16.07101481,16.07101481,9459271.48,9583195.724,1.09E+07,1.03E+07,22220.80567,22464.37655,24856.13463,23819.36055,0.999510338,0.999508376,0.999562617,0.999552288,0.999492503,0.999492503,0.999540441,0.999525123,0.277572632,0.401260951,1.437847105,53455025e4b06017362840de,0
3.23E-04,4.15E-06,9.69E-04,6.28E-09,1.66E-05,7.74E-10,0.001613405,3.14E-08,2.64E-12,3.73E-05,4.64E-09,3.75E-13,147,0,0.062316895,0,2147.892109,45.94867591,4084,#NOME?,Infinity,517226,7.888479405,2.808643695,65536,0,7.888359036,1018.035552,133659.2607,0,0,0.998708617,0.998739356,0.998744279,0.998805514,11.54725106,10.271188,9.297242647,7.218872549,0.759460265,0.786041818,0.805570872,0.849034908,0.007574673,0.007046628,0.007050692,0.006844317,11.54725106,10.271188,9.297242647,7.218872549,0.007761322,0.007524833,0.007519134,0.007178109,-0.670016167,-0.710541108,-0.70690503,-0.76555244,0.088257949,0.09087711,0.090484097,0.094146731,0.999358612,0.999410588,0.999415012,0.999432724,2.218254517,2.218254517,2.217401961,2.217401961,0.007646678,0.007482194,0.007463441,0.007127621,89.35070908,90.62749938,91.22290043,93.30275493,24.01469871,24.01469871,23.92089129,23.92089129,1.58E+07,1.62E+07,1.67E+07,1.73E+07,35628.54133,36400.22558,37171.98865,38397.98,0.9993814,0.999427798,0.999437344,0.99946143,0.999354095,0.999369473,0.999371936,0.999402574,0.277893066,0.412566093,1.189607065,5345502de4b0601736284528,0
4.50E-04,1.06E-05,0.001349876,1.63E-07,4.22E-05,1.15E-08,0.002245804,8.12E-07,3.93E-10,9.47E-05,6.90E-08,1.06E-11,254,0,0.173431396,0,1423.867857,37.71661076,11366,#NOME?,Infinity,2808990,42.83236101,6.544643688,65536,0,42.83170744,10572.81617,2612243.846,0,0,0.998278346,0.998124703,0.99828507,0.99834629,18.56073818,28.11374087,18.54874387,14.75462623,0.786746969,0.676988038,0.786049623,0.829812851,0.008971005,0.00996065,0.008489792,0.007864439,18.56073818,28.11374087,18.54874387,14.75462623,0.010175901,0.010976983,0.010081007,0.009811713,-0.673561551,-0.56913972,-0.681253957,-0.716481648,0.101397075,0.093243788,0.101791384,0.104376004,0.999277103,0.999163213,0.999316121,0.999372169,2.35100346,2.35100346,2.349632353,2.349632353,0.009845242,0.010650485,0.009677521,0.00937377,160.992728,151.4359556,160.319598,164.1151373,43.5489066,43.5489066,43.37879368,43.37879368,3.50E+07,3.08E+07,3.48E+07,3.64E+07,72620.40671,65485.78479,72269.93446,75100.05785,0.999329381,0.999213228,0.999363493,0.999422972,0.999138793,0.999061899,0.999142157,0.999172794,0.690994263,1.065414457,0.524301225,53455053e4b0601736285a3c,0
2.25E-04,3.13E-06,6.75E-04,3.73E-08,1.25E-05,1.54E-09,0.001124635,1.86E-07,3.13E-11,2.81E-05,9.22E-09,5.27E-13,252,0,0.085922241,0,2850.864188,53.3753902,5631,#NOME?,Infinity,1379047,21.03552563,4.586450221,65536,0,21.03520465,5149.571773,1261488.412,0,0,0.998985274,0.999046757,0.999081102,0.999142348,18.58642061,14.90734333,12.97178309,9.117310049,0.572195582,0.656877057,0.700257471,0.789323831,0.00577974,0.005116567,0.00494243,0.004642033,18.58642061,14.90734333,12.97178309,9.117310049,0.006017075,0.005696149,0.005490617,0.005162807,-0.522956102,-0.601735616,-0.647362894,-0.728120181,0.065205043,0.06993294,0.07239998,0.076770605,0.999513,0.999585266,0.999591916,0.99963139,2.175317186,2.175317186,2.174632353,2.174632353,0.005873065,0.005581505,0.005355184,0.005048611,73.01220689,76.6925493,78.28681722,82.14262044,21.73071628,21.73071628,21.64583067,21.64583067,1.35E+07,1.50E+07,1.58E+07,1.75E+07,29359.90284,32057.51735,33326.70267,36225.39803,0.999536426,0.999604842,0.999618311,0.999659166,0.999492503,0.99952326,0.999540441,0.999571078,0.413818359,0.627671706,0.966789849,53455053e4b0601736285a4c,0
2.15E-04,2.38E-06,6.46E-04,4.52E-09,9.53E-06,4.31E-10,0.001076012,2.26E-08,1.16E-11,2.14E-05,2.59E-09,1.77E-13,156,0,0.041793823,0,3343.214464,57.22177226,2739,#NOME?,Infinity,354785,5.411925333,2.326354516,65536,0,5.411842754,720.4253708,97919.19384,0,0,0.999077499,0.999108242,0.999142349,0.999172972,10.01614764,7.426682045,6.525551471,5.871752451,0.657178434,0.745807783,0.775775084,0.798240316,0.005459657,0.005109363,0.004905942,0.004763273,10.01614764,7.426682045,6.525551471,5.871752451,0.005523615,0.005367175,0.005133556,0.004977666,-0.612590789,-0.651885115,-0.705938892,-0.745235388,0.069755789,0.07195262,0.074734729,0.076780657,0.999539328,0.99957318,0.999588757,0.999604291,2.137854671,2.137854671,2.137316176,2.137316176,0.005502295,0.005345855,0.005091083,0.004948414,52.96437026,55.55450305,56.22624135,56.8806488,14.61314669,14.61314669,14.55606408,14.55606408,7941182.263,9014905.451,9275255.372,9422686.753,18965.12624,20878.95194,21346.77856,21671.54599,0.999549497,0.999584607,0.999601415,0.999619524,0.999538639,0.999554018,0.999571078,0.999586397,0.209762573,0.305938997,1.342243677,53455055e4b0601736285b5a,0
7.34E-04,3.65E-06,0.002201125,1.71E-07,1.46E-05,7.98E-09,0.003662841,8.55E-07,1.94E-10,3.27E-05,4.78E-08,4.99E-12,186,0,0.152908325,0,1026.925091,31.46777672,10021,#NOME?,Infinity,1402251,21.3735974,4.623158812,65536,0,21.37327127,3109.442261,469130.8732,0,0,0.997233773,0.997295202,0.997428147,0.997366953,12.12659746,10.02703576,6.210508578,7.940471814,0.85061038,0.876475238,0.923191985,0.90179679,0.015869926,0.015447446,0.014497103,0.015216213,12.12659746,10.02703576,6.210508578,7.940471814,0.016615666,0.016308039,0.015509105,0.015879361,-0.765135541,-0.787998145,-0.843242537,-0.815626774,0.142758397,0.144853337,0.149524753,0.147083068,0.998641274,0.998702967,0.998741125,0.998719743,2.423068051,2.423068051,2.421415441,2.421415441,0.016437063,0.016137484,0.015381688,0.015637748,156.0138704,158.1148741,161.2936072,159.5624119,40.63188897,40.63188897,40.47317065,40.47317065,2.37E+07,2.46E+07,2.54E+07,2.50E+07,58157.16122,59601.66333,61459.45688,60503.94067,0.998684328,0.998758965,0.998802112,0.998776585,0.998615917,0.998646674,0.998713235,0.998682598,0.533935547,0.816684139,0.909802572,53455055e4b0601736285ba4,0
8.52E-04,9.99E-06,0.002552929,1.19E-08,3.99E-05,1.23E-09,0.004247015,5.94E-08,1.55E-10,8.96E-05,7.35E-09,3.33E-12,179,0,0.185379028,0,851.3691555,28.87866475,12149,#NOME?,Infinity,1782739,27.16848753,5.212339928,65536,0,27.16807297,4089.547924,628418.3177,0,0,0.996895941,0.996865233,0.996999826,0.996999827,13.67391003,14.30040754,9.216329657,9.089613971,0.877286894,0.871664548,0.916966403,0.918108035,0.017416371,0.01786102,0.016749721,0.016773797,13.67391003,14.30040754,9.216329657,9.089613971,0.018659366,0.018823836,0.01812211,0.018079638,-0.790968591,-0.780311768,-0.821575382,-0.824337221,0.155302657,0.154265537,0.157962659,0.158224597,0.998512781,0.998490744,0.998561246,0.998583404,2.532995002,2.532995002,2.53091299,2.53091299,0.018379393,0.018559957,0.017758285,0.017649295,215.5091965,214.8817909,219.089991,219.2172545,55.78596649,55.78596649,55.56805256,55.56805256,3.80E+07,3.77E+07,3.94E+07,3.94E+07,87568.32192,87154.88797,90184.86358,90208.4897,0.998578033,0.998560604,0.998642029,0.998660269,0.998446751,0.998431373,0.998498775,0.998498775,0.614486694,0.964946539,0.620780568,53455069e4b0601736286510,0
3.23E-04,2.31E-06,9.69E-04,2.58E-08,9.24E-06,8.75E-10,0.001613712,1.29E-07,8.34E-12,2.08E-05,5.25E-09,9.94E-14,208,0,0.07800293,0,2459.979483,48.90139603,5112,#NOME?,Infinity,868538,13.24695581,3.639636769,65536,0,13.24675368,2357.737163,431681.7216,0,0,0.998708616,0.998708617,0.998805513,0.998774895,9.070818916,9.728904268,5.255330882,6.537469363,0.774656316,0.758307695,0.868931612,0.836954972,0.007697364,0.00768127,0.006799035,0.007320775,9.070818916,9.728904268,5.255330882,6.537469363,0.007803961,0.007782642,0.007220581,0.007384484,-0.707609898,-0.711140539,-0.799927173,-0.772686335,0.092245569,0.092474429,0.097876451,0.096203337,0.9993566,0.999364972,0.999423757,0.999393031,2.193033449,2.193033449,2.192279412,2.192279412,0.007740003,0.007710637,0.007199345,0.007342011,76.21121747,75.55326046,79.71143931,78.42867738,20.13594477,20.13594477,20.05728873,20.05728873,1.28E+07,1.25E+07,1.41E+07,1.37E+07,29416.28471,28893.18013,31840.21902,30980.97358,0.99937283,0.999384064,0.999449004,0.99941502,0.999354095,0.999354095,0.999402574,0.999387255,0.358261108,0.516803174,1.299725388,53455075e4b0601736286ab6,0
6.27E-04,4.65E-06,0.001878479,1.43E-07,1.86E-05,1.71E-09,0.003126549,7.16E-07,2.70E-11,4.17E-05,1.03E-08,2.18E-12,220,0,0.149307251,0,1333.33621,35.6841067,9785,#NOME?,Infinity,1637975,24.9716034,4.997159533,65536,0,24.97122236,4452.91569,831443.0955,0,0,0.997602381,0.997694544,0.997734146,0.997764748,10.29262591,7.094256055,5.505238971,4.994117647,0.848182865,0.895359101,0.918479086,0.926047709,0.01411315,0.013146759,0.013365713,0.013108859,10.29262591,7.094256055,5.505238971,4.994117647,0.01442878,0.013892713,0.013657814,0.01349392,-0.761374259,-0.80739245,-0.823348656,-0.837468519,0.13259763,0.136509525,0.137594678,0.138758155,0.998804893,0.99892644,0.998883425,0.998904598,2.349158016,2.349158016,2.347794118,2.347794118,0.014300864,0.013828755,0.013572869,0.013430211,130.7513459,133.9519206,135.0065803,135.5183676,33.92857599,33.92857599,33.79604249,33.79604249,2.13E+07,2.25E+07,2.28E+07,2.30E+07,50153.0585,52309.66501,53030.77867,53369.61174,0.998836069,0.998963365,0.998924677,0.998948939,0.998800461,0.998846597,0.998866422,0.99888174,0.562759399,0.826967222,0.935295687,534550a5e4b0601736287b88,0
